frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
43,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4235587,4244126,4153021,4006774,263,0.0352146,0,0
44,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4234328,4244126,4154280,4002717,273,0.0364836,0,0
45,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4237989,4244126,4150619,3995509,280,0.0373703,0,0
46,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4236659,4244126,4151949,3992423,287,0.038422,0,0
47,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4240311,4244126,4148297,3985675,298,0.0392021,0,0
48,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4232336,4244126,4156272,3978114,306,0.0428649,0,0
49,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4231108,4244126,4157500,3974323,309,0.0440594,0,0
50,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4232733,4244126,4155875,3974323,321,0.0436856,0,0
51,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4236428,4244126,4152180,3966754,331,0.0446575,0,0
52,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4234900,4244126,4153708,3966754,339,0.0450089,0,0
53,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4235990,4244126,4152618,3958924,345,0.0466438,0,0
54,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4229743,4244126,4158865,3958924,354,0.0480759,0,0
55,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4228823,4244126,4159785,3958924,359,0.0482864,0,0
56,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4231011,4244126,4157597,3951065,364,0.0496758,0,0
57,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4230872,4244126,4157736,3947031,376,0.0506778,0,0
58,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4227210,4244126,4161398,3947031,379,0.0515132,0,0
59,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4231174,4244126,4157434,3947031,385,0.0506089,0,0
60,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4223492,4244126,4165116,3942988,394,0.0533306,0,0
61,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4221022,4244126,4167586,3942988,403,0.0538916,0,0
62,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4228365,4244126,4160243,3935639,410,0.0539882,0,0
63,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4230132,4244126,4158476,3935639,421,0.0535862,0,0
64,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4222289,4244126,4166319,3928588,435,0.0570602,0,0
65,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4227574,4244126,4161034,3916823,445,0.05869,0,0
66,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4233594,4244126,4155014,3906571,454,0.0597935,0,0
67,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4241817,4244126,4146791,3895382,459,0.0606274,0,0
68,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4241972,4244126,4146636,3895382,465,0.0605922,0,0
69,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4243037,4244126,4145571,3891827,471,0.0612085,0,0
70,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4238700,4244126,4149908,3883819,481,0.0641193,0,0
71,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4243305,4244126,4145303,3880205,487,0.0639514,0,0
72,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4246585,4246585,4142023,3873892,494,0.0647343,0,0
73,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4248532,4248532,4140076,3870283,504,0.0651662,0,0
74,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4251999,4251999,4136609,3866842,509,0.0652145,0,0
75,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4252048,4252048,4136560,3859476,517,0.0669842,0,0
76,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4247542,4252048,4141066,3859476,524,0.0679994,0,0
77,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4249863,4252048,4138745,3852383,526,0.0691905,0,0
