frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
49,steady,0,20000,760,835168,835168,0,25652,50000,30000,420396,420396,7968212,7965911,30,0.000288772,0,0
50,steady,0,20000,773,835168,835168,0,25652,50000,30000,428602,428602,7960006,7957748,31,0.000283668,0,0
51,steady,0,20000,787,835168,835168,0,25652,50000,30000,434841,434841,7953767,7951467,33,0.000289171,0,0
52,steady,0,20000,800,835168,835168,0,25652,50000,30000,443081,443081,7945527,7943093,34,0.000306336,0,0
53,steady,0,20000,813,835168,835168,0,25652,50000,30000,451436,451436,7937172,7934402,36,0.000348991,0,0
54,steady,0,20000,821,835168,835168,0,25652,50000,30000,457735,457735,7930873,7926911,42,0.000499567,0,0
55,steady,0,20000,830,835168,835168,0,25652,50000,30000,463730,463730,7924878,7920697,43,0.000527579,0,0
56,steady,0,20000,840,835168,835168,0,25652,50000,30000,468388,468388,7920220,7915713,46,0.00056905,0,0
57,steady,0,20000,853,835168,835168,0,25652,50000,30000,476392,476392,7912216,7907716,47,0.000568741,0,0
58,steady,0,20000,863,835168,835168,0,25652,50000,30000,480771,480771,7907837,7902902,50,0.000624064,0,0
59,steady,0,20000,871,835168,835168,0,25652,50000,30000,486485,486485,7902123,7896171,56,0.000753215,0,0
60,steady,0,20000,879,835168,835168,0,25652,50000,30000,489328,489328,7899280,7893251,59,0.000763234,0,0
61,steady,0,20000,890,835168,835168,0,25652,50000,30000,496461,496461,7892147,7886261,63,0.000745805,0,0
62,steady,0,20000,896,835168,835168,0,25652,50000,30000,499118,499118,7889490,7883049,69,0.000816403,0,0
63,steady,0,20000,907,835168,835168,0,25652,50000,30000,503546,503546,7885062,7879106,73,0.000755352,0,0
64,steady,0,20000,916,835168,835168,0,25652,50000,30000,506561,506561,7882047,7875333,78,0.000851809,0,0
65,steady,0,20000,926,835168,835168,0,25652,50000,30000,511998,511998,7876610,7869973,82,0.000842621,0,0
66,steady,0,20000,934,835168,835168,0,25652,50000,30000,519264,519264,7869344,7861614,87,0.000982293,0,0
67,steady,0,20000,944,835168,835168,0,25652,50000,30000,523509,523509,7865099,7857415,89,0.000976974,0,0
68,steady,0,20000,955,835168,835168,0,25652,50000,30000,527625,527625,7860983,7853194,90,0.000990843,0,0
69,steady,0,20000,965,835168,835168,0,25652,50000,30000,534166,534166,7854442,7845694,96,0.00111376,0,0
70,steady,0,20000,970,835168,835168,0,25652,50000,30000,537681,537681,7850927,7840834,104,0.00128558,0,0
71,steady,0,20000,980,835168,835168,0,25652,50000,30000,541863,541863,7846745,7836470,107,0.00130946,0,0
72,steady,0,20000,987,835168,835168,0,25652,50000,30000,545289,545289,7843319,7832039,114,0.00143817,0,0
73,steady,0,20000,993,835168,835168,0,25652,50000,30000,548052,548052,7840556,7828315,120,0.00156124,0,0
74,steady,0,20000,1002,835168,835168,0,25652,50000,30000,551898,551898,7836710,7823632,122,0.00166881,0,0
75,steady,0,20000,1010,835168,835168,0,25652,50000,30000,557910,557910,7830698,7817642,127,0.00166728,0,0
76,steady,0,20000,1019,835168,835168,0,25652,50000,30000,563066,563066,7825542,7812684,127,0.00164308,0,0
77,steady,0,20000,1033,835168,835168,0,25652,50000,30000,572643,572643,7815965,7803080,127,0.00164855,0,0
78,steady,0,20000,1041,835168,835168,0,25652,50000,30000,576799,576799,7811809,7798745,131,0.00167234,0,0
79,steady,0,20000,1054,835168,835168,0,25652,50000,30000,585081,585081,7803527,7790620,131,0.001654,0,0
80,steady,0,20000,1063,835168,835168,0,25652,50000,30000,588705,588705,7799903,7787687,130,0.00156617,0,0
81,steady,0,20000,1070,835168,835168,0,25652,50000,30000,592610,592610,7795998,7783262,133,0.00163366,0,0
82,steady,0,20000,1077,835168,835168,0,25652,50000,30000,596697,596697,7791911,7778703,137,0.00169509,0,0
83,steady,0,20000,1084,835168,835168,0,25652,50000,30000,600017,600017,7788591,7774577,144,0.0017993,0,0
84,steady,0,20000,1095,835168,835168,0,25652,50000,30000,605424,605424,7783184,7769138,145,0.00180466,0,0
85,steady,0,20000,1103,835168,835168,0,25652,50000,30000,610319,610319,7778289,7764686,145,0.00174884,0,0
86,steady,0,20000,1111,835168,835168,0,25652,50000,30000,615727,615727,7772881,7758203,151,0.00188836,0,0
87,steady,0,20000,1111,835168,835168,0,25652,50000,30000,617219,617219,7771389,7754388,160,0.00218764,0,0
88,steady,0,20000,1112,835168,835168,0,25652,50000,30000,618023,618023,7770585,7750493,173,0.00258565,0,0
89,steady,0,20000,1119,835168,835168,0,25652,50000,30000,622714,622714,7765894,7744627,177,0.00273851,0,0
